CustomerID,FirstName,MiddleName,LastName,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
11000,Jon,V,Yang,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0162,08/04/1966,Bachelors ,Professional,M,M,1,0,0,2,137947
11001,Eugene,L,Huang,Seaford,Victoria,Australia,3198,1 (11) 500 555-0110,14/05/1965,Bachelors ,Professional,M,S,0,1,3,3,101141
11002,Ruben,,Torres,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0184,12/08/1965,Bachelors ,Professional,M,M,1,1,3,3,91945
11003,Christy,,Zhu,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0162,15/02/1968,Bachelors ,Professional,F,S,0,1,0,0,86688
11004,Elizabeth,,Johnson,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0131,08/08/1968,Bachelors ,Professional,F,S,1,4,5,5,92771
11005,Julio,,Ruiz,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0151,05/08/1965,Bachelors ,Professional,M,S,1,1,0,0,103199
11006,Janet,G,Alvarez,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,06/12/1965,Bachelors ,Professional,F,S,1,1,0,0,84756
11007,Marco,,Mehta,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,09/05/1964,Bachelors ,Professional,M,M,1,2,3,3,109759
11008,Rob,,Verhoff,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0164,07/07/1964,Bachelors ,Professional,F,S,1,3,4,4,88005
11009,Shannon,C,Carlson,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0110,01/04/1964,Bachelors ,Professional,M,S,0,1,0,0,106399
11010,Jacquelyn,C,Suarez,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0169,06/02/1964,Bachelors ,Professional,F,S,0,1,0,0,81294
11011,Curtis,,Lu,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0117,04/11/1963,Bachelors ,Professional,M,M,1,4,4,4,94029
11012,Lauren,M,Walker,Bremerton,Washington,United States,98312,717-555-0164,18/01/1968,Bachelors ,Management,F,M,1,2,0,2,99245
11013,Ian,M,Jenkins,Lebanon,Oregon,United States,97355,817-555-0185,06/08/1968,Bachelors ,Management,M,M,1,3,0,2,115859
11014,Sydney,,Bennett,Redmond,Washington,United States,98052,431-555-0156,09/05/1968,Bachelors ,Management,F,S,0,3,0,3,105157
11015,Chloe,,Young,Burbank,California,United States,91502,208-555-0142,27/02/1979,Partial College,Skilled Manual,F,S,0,1,0,0,40011
11016,Wyatt,L,Hill,Imperial Beach,California,United States,91932,135-555-0171,28/04/1979,Partial College,Skilled Manual,M,M,1,1,0,0,46808
11019,Luke,L,Lal,Langley,British Columbia,Canada,V3A 4R2,262-555-0112,07/03/1978,High School,Skilled Manual,M,S,0,2,0,0,49455
11020,Jordan,C,King,Metchosin,British Columbia,Canada,V9,550-555-0163,20/09/1978,High School,Skilled Manual,M,S,0,2,0,0,43857
11023,Seth,M,Edwards,Bellflower,California,United States,90706,452-555-0188,11/10/1978,Partial College,Skilled Manual,M,M,1,1,0,0,50046
11024,Russell,,Xie,Concord,California,United States,94519,746-555-0186,17/09/1978,Partial College,Skilled Manual,M,M,1,2,0,0,91276
11025,Alejandro,,Beck,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0178,23/12/1945,Partial High School,Clerical,M,M,1,2,1,2,24334
11026,Harold,,Sai,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0131,03/04/1946,Partial College,Clerical,M,S,0,2,0,2,61905
11027,Jessie,R,Zhao,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0184,07/12/1946,Partial College,Clerical,M,M,1,2,0,2,49349
11028,Jill,,Jimenez,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0116,11/04/1946,Partial College,Clerical,F,M,1,2,0,2,44068
11031,Theresa,G,Ramos,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0195,22/08/1947,High School,Skilled Manual,F,M,1,2,0,4,18843
11032,Denise,,Stone,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0169,11/06/1947,High School,Skilled Manual,F,M,1,2,0,4,15861
11033,Jaime,,Nath,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0137,23/09/1947,High School,Skilled Manual,M,M,1,2,0,4,35822
11034,Ebony,,Gonzalez,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,19/06/1947,High School,Skilled Manual,F,M,1,2,0,4,29017
11035,Wendy,,Dominguez,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0177,24/02/1948,Partial High School,Clerical,F,M,1,2,1,2,11721
11036,Jennifer,C,Russell,National City,California,United States,91950,115-555-0183,18/12/1978,Partial College,Skilled Manual,F,M,1,2,0,0,84890
11037,Chloe,M,Garcia,Cliffside,British Columbia,Canada,V8Y 1L1,229-555-0112,27/11/1977,Partial High School,Clerical,F,S,0,2,0,0,48651
15127,Wesley,K,Yang,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0188,14/02/1975,Bachelors ,Professional,M,S,0,2,0,0,129497
11040,Jesse,,Murphy,Tacoma,Washington,United States,98403,961-555-0176,01/08/1977,Partial College,Skilled Manual,M,M,1,2,0,0,56248
11041,Amanda,M,Carter,Glendale,California,United States,91203,295-555-0145,16/10/1977,Partial College,Skilled Manual,F,M,1,2,0,0,78170
11042,Megan,J,Sanchez,Los Angeles,California,United States,90012,404-555-0199,13/06/1977,Partial College,Skilled Manual,F,M,1,2,0,0,70623
11043,Nathan,M,Simmons,Glendale,California,United States,91203,296-555-0181,24/02/1976,Partial College,Skilled Manual,M,M,1,2,0,0,78150
11044,Adam,L,Flores,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0163,24/05/1949,Partial High School,Clerical,M,M,1,2,1,2,24007
11045,Leonard,G,Nara,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0151,19/05/1950,High School,Skilled Manual,M,S,0,2,0,3,51472
