CustomerID,FirstName,MiddleName,LastName,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
27219,Benjamin,,Yang,Lemon Grove,California,United States,91945,672-555-0135,19/09/1957,Partial High School,Clerical,M,S,0,2,1,2,16238
27220,Jackson,,Long,Torrance,California,United States,90505,773-555-0117,25/05/1957,Partial High School,Clerical,M,S,0,2,1,2,22662
27221,Matthew,J,Jones,Tacoma,Washington,United States,98403,753-555-0152,10/07/1957,Partial High School,Clerical,M,S,1,2,1,2,18741
27222,Virginia,,Sai,Chula Vista,California,United States,91910,540-555-0129,20/10/1957,Partial High School,Clerical,F,M,1,2,1,2,30863
27223,Jeremy,S,Wright,Walla Walla,Washington,United States,99362,211-555-0116,26/02/1957,Partial High School,Clerical,M,M,1,2,1,2,30479
27224,Jessica,A,Griffin,W. Linn,Oregon,United States,97068,424-555-0117,09/10/1957,Partial High School,Clerical,F,M,0,2,1,2,32081
27225,Isaac,L,Murphy,Santa Cruz,California,United States,95062,123-555-0129,08/05/1957,High School,Skilled Manual,M,M,1,2,0,2,63081
27226,Christian,,Wang,Lake Oswego,Oregon,United States,97034,186-555-0185,05/07/1958,High School,Skilled Manual,M,M,1,2,0,2,55126
27227,Emily,,Bryant,El Cajon,California,United States,92020,808-555-0115,07/03/1958,High School,Skilled Manual,F,S,0,2,0,2,33657
27228,Amanda,,Young,Issaquah,Washington,United States,98027,841-555-0164,20/03/1958,Partial College,Clerical,F,M,1,1,0,1,47724
27229,Zachary,,Zhang,San Francisco,California,United States,94109,756-555-0120,03/11/1958,Partial College,Clerical,M,M,0,1,0,1,43892
27230,Hunter,R,Wilson,Port Hammond,British Columbia,Canada,V6B 3P7,155-555-0111,15/04/1958,Partial College,Clerical,M,S,0,1,0,2,50479
27232,Ram,,Thirunavukkarasu,Puyallup,Washington,United States,98371,970-555-0173,18/11/1959,Partial College,Clerical,M,S,0,1,0,2,60935
27233,Seth,E,Ward,Spring Valley,California,United States,91977,472-555-0119,10/10/1959,Partial College,Clerical,M,S,0,1,0,2,57011
27234,Gabriel,M,Jenkins,Sedro Woolley,Washington,United States,98284,334-555-0131,16/03/1959,Partial College,Clerical,M,S,1,1,0,2,58359
27235,Robert,L,Li,Renton,Washington,United States,98055,787-555-0152,16/02/1959,Partial College,Clerical,M,S,0,1,0,2,60814
27236,Nicole,J,Alexander,Olympia,Washington,United States,98501,324-555-0137,15/02/1959,Partial College,Clerical,F,S,0,1,0,2,43920
27237,Jasmine,,Ramirez,Fremont,California,United States,94536,411-555-0117,26/05/1959,Partial College,Clerical,F,M,0,1,0,2,39250
27238,Jesse,D,Hernandez,Concord,California,United States,94519,126-555-0150,21/11/1959,Partial College,Clerical,M,S,0,1,0,2,48966
27239,Noah,,Simmons,Grossmont,California,United States,91941,165-555-0173,03/02/1959,Partial College,Clerical,M,S,0,1,0,2,54361
27240,Dalton,,Cooper,Yakima,Washington,United States,98901,776-555-0130,28/05/1972,Partial College,Clerical,M,S,1,1,4,4,63573
27241,Oscar,,Butler,West Covina,California,United States,91791,522-555-0168,17/12/1972,Graduate Degree,Skilled Manual,M,M,0,0,0,0,74475
27242,Hunter,S,Diaz,Oak Bay,British Columbia,Canada,V8P,423-555-0118,19/06/1973,Graduate Degree,Skilled Manual,M,M,1,0,0,0,82626
27244,Arianna,,Kelly,Woodburn,Oregon,United States,97071,725-555-0128,16/09/1973,Graduate Degree,Skilled Manual,F,M,1,0,0,1,66632
27245,Lauren,R,Jones,La Jolla,California,United States,92806,988-555-0133,06/03/1973,Graduate Degree,Skilled Manual,F,M,1,0,0,1,76418
27246,Aaron,K,Hall,Lemon Grove,California,United States,91945,655-555-0154,12/07/1973,Graduate Degree,Skilled Manual,M,M,1,0,0,1,76190
27247,Blake,D,Hughes,Lemon Grove,California,United States,91945,726-555-0168,25/07/1973,Graduate Degree,Skilled Manual,M,M,1,0,0,1,75003
